#name1,name2,distance,force_redirection
Befandriana Nord,Bealanana,742.85,0
Besalampy,Soalala,1057.52,0
Besalampy,Morafenobe,1155.23,0
Besalampy,Maintirano,1393.04,0
Merged_Toliary-I_Toliary-II,Betioky Atsimo,760.02,0
Merged_Toliary-I_Toliary-II,Sakaraha,843.05,0
Merged_Toliary-I_Toliary-II,Camp_Atsimo-Andrefana,869.2,0
Beroroha,Manja,874.68,0
Beroroha,Ankazoabo,900.5,0
Beroroha,Camp_Ihorombe,1192.82,0
Morombe,Manja,1019.32,0
Morombe,Ankazoabo,1274.88,0
Morombe,Merged_Toliary-I_Toliary-II,1575.74,0
Ankazoabo,Camp_Atsimo-Andrefana,596.29,0
Ankazoabo,Sakaraha,619.65,0
Ankazoabo,Manja,877.15,0
Betioky Atsimo,Benenitra,752.63,0
Betioky Atsimo,Merged_Toliary-I_Toliary-II,760.02,0
Betioky Atsimo,Ampanihy Ouest,791.96,0
Ampanihy Ouest,Betioky Atsimo,791.96,0
Ampanihy Ouest,Beloha,906.13,0
Ampanihy Ouest,Bekily,918.03,0
Sakaraha,Camp_Atsimo-Andrefana,29.9,0
Sakaraha,Ankazoabo,619.65,0
Sakaraha,Benenitra,766.69,0
Benenitra,Betioky Atsimo,752.63,0
Benenitra,Sakaraha,766.69,0
Benenitra,Camp_Atsimo-Andrefana,771.79,0
Beloha,Tsihombe,447.14,0
Beloha,Ampanihy Ouest,906.13,0
Beloha,Bekily,985.94,0
Bekily,Benenitra,809.7,0
Bekily,Ampanihy Ouest,918.03,0
Bekily,Beloha,985.94,0
Manja,Beroroha,874.68,0
Manja,Ankazoabo,877.15,0
Manja,Morombe,1019.32,0
Morondava,Belo Sur Tsiribihina,661.24,0
Morondava,Manja,1140.2,0
Morondava,Miandrivazo,1405.8,0
Mahabo,Vohipeno,50.77,0
Mahabo,Merged_Vohibato_Farafangana,513.19,0
Mahabo,Merged_Manandriana_Ikongo,676.58,0
Belo Sur Tsiribihina,Morondava,661.24,0
Belo Sur Tsiribihina,Miandrivazo,927.61,0
Belo Sur Tsiribihina,Antsalova,1017.0,0
Merged_Antsiranana II_Antsiranana I,Ambilobe,930.39,0
Merged_Antsiranana II_Antsiranana I,Vohemar,1295.33,0
Merged_Antsiranana II_Antsiranana I,Merged_Maevatanana_Tsaratanana_Ambanja,1689.91,0
Ambilobe,Merged_Maevatanana_Tsaratanana_Ambanja,782.64,0
Ambilobe,Merged_Antsiranana II_Antsiranana I,930.39,0
Ambilobe,Vohemar,966.6,0
Antalaha,Sambava,658.33,0
Antalaha,Andapa,673.11,0
Antalaha,Maroantsetra,758.31,0
Sambava,Antsirabe II,337.49,0
Sambava,Andapa,647.91,0
Sambava,Antalaha,658.33,0
Andapa,Sambava,647.91,0
Andapa,Antalaha,673.11,0
Andapa,Antsirabe II,754.91,0
Vohemar,Antsirabe II,604.67,0
Vohemar,Sambava,896.43,0
Vohemar,Ambilobe,966.6,0
Camp_Sofia,Mandritsara,34.38,0
Camp_Sofia,Befandriana Nord,688.06,0
Camp_Sofia,Mananara-Avaratra,974.83,0
Camp_Vakinankaratra,Merged_Antsirabe I_Antanifotsy,179.97,0
Camp_Vakinankaratra,Merged_Betafo_Faratsiho,275.61,0
Camp_Vakinankaratra,Fandriana,510.23,0
Camp_Amoron_I_Mania,Merged_Ambatofinandrahana_Ambositra,216.28,0
Camp_Amoron_I_Mania,Fandriana,314.86,0
Camp_Amoron_I_Mania,Camp_Vakinankaratra,687.03,0
Camp_Haute_Matsiatra,Merged_Ambohimahasoa_Lalangina_Isandra,180.89,0
Camp_Haute_Matsiatra,Merged_Fianarantsoa I_Ambalavao,456.49,0
Camp_Haute_Matsiatra,Merged_Manandriana_Ikongo,520.17,0
Camp_Vatovavy_Fitovinany,Merged_Nosy-Varika_Befotaka,145.46,0
Camp_Vatovavy_Fitovinany,Marolambo,372.7,0
Camp_Vatovavy_Fitovinany,Mahanoro,711.63,0
Camp_Ihorombe,Ihosy,74.04,0
Camp_Ihorombe,Ivohibe,756.55,0
Camp_Ihorombe,Merged_Fianarantsoa I_Ambalavao,867.04,0
Camp_Atsimo-Andrefana,Sakaraha,29.9,0
Camp_Atsimo-Andrefana,Ankazoabo,596.29,0
Camp_Atsimo-Andrefana,Benenitra,771.79,0
Camp_Atsimo-Atsinanana,Midongy-Atsimo,218.58,0
Camp_Atsimo-Atsinanana,Vangaindrano,756.2,0
Camp_Atsimo-Atsinanana,Iakora,786.03,0
Camp_Anosy,Betroka,31.51,0
Camp_Anosy,Iakora,603.38,0
Camp_Anosy,Ihosy,799.62,0
Camp_Androy,Merged_Ambovombe-Androy_Amboasary-Atsimo,159.47,0
Camp_Androy,Tsihombe,623.13,0
Camp_Androy,Taolagnaro,918.77,0
Camp_Atsinanana,Toamasina II,10,0
Camp_Atsinanana,Merged_Fenerive Est_Vavatenina,738.62,0
Camp_Atsinanana,Brickaville,748.95,0
Camp_Atsinanana,Merged_Toamasina I_Ambatondrazaka,901.6,0

